Reference, Quantity, Value, Footprint, Digikey Part Number, Manufacturer_Name, Manufacturer_Part_Number, URL
A1 ,2,Pololu_Breakout_DRV8825,Module:Pololu_Breakout-16_15.2x20.3mm,S7006-ND,Sullins,PPTC081LFBN-RC,https://www.digikey.com.au/products/en?keywords=PPTC081LFBN-RC
BT1 ,1,Battery_Cell,Misc:2999,36-2999-ND,Keystone,2999,https://www.digikey.com.au/product-detail/en/keystone-electronics/2999/36-2999-ND/2137863
C10 C26 C38 ,3,1uF,Capacitor_SMD:C_0805_2012Metric,311-1365-1-ND,Yageo,CC0805KKX7R7BB105,https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149
C13 C23 ,2,270nF,Capacitor_SMD:C_0805_2012Metric,311-4268-1-ND,Yageo,CC0805JRX7R7BB274,https://www.digikey.com.au/product-detail/en/yageo/CC0805JRX7R7BB274/311-4268-1-ND/8025357
C14 C20 C21 C22 C15 ,5,0.22uF,Capacitor_SMD:C_0805_2012Metric,1276-1284-1-ND,Samsung,CL21B224KOCNNNC,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370
C24 ,1,100uF,Capacitor_SMD:C_1206_3216Metric,1276-1782-1-ND,Samsung,CL31A107MQHNNNE,https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL31A107MQHNNNE/1276-1782-1-ND/3889868
C25 C28 C35 C39 C40 ,5,0.01uF,Capacitor_SMD:C_0805_2012Metric,311-1136-1-ND,Yageo,CC0805KRX7R9BB103,https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046
C3 ,1,22uF,Capacitor_SMD:CP_Elec_4x5.4,EEE-1CA220WR,Panasonic,PCE3882CT-ND,https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-1CA220WR/PCE3882CT-ND/766258
C30 ,1,4700pF,Capacitor_SMD:C_0805_2012Metric,311-1133-1-ND,Yageo,CC0805KRX7R9BB472,https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046
C32 ,1,68uF,Capacitor_SMD:CP_Elec_6.3x7.7,493-17476-1-ND,Nichicon,UCM1V680MCL1GS,https://www.digikey.com.au/en/products/detail/nichicon/UCM1V680MCL1GS/4991867
