Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Pololu_Breakout_DRV8825","Pololu_Breakout-16_15.2x20.3mm",259.334000,-102.870000,0.000000,top
"BT1","Battery_Cell","BatteryHolder_Keystone_500",257.040395,-54.610000,0.000000,top
"C1","0.1uF","C_0805_2012Metric",185.547000,-46.355000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",177.800000,-43.307000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",215.392000,-61.000000,0.000000,top
"C4","0.01uF","C_0805_2012Metric",227.203000,-51.816000,180.000000,top
"C5","4700pF","C_0805_2012Metric",227.203000,-53.975000,0.000000,top
"C6","1nF","C_0805_2012Metric",205.359000,-50.292000,-90.000000,top
"C7","0.01uF","C_0805_2012Metric",211.582000,-62.230000,-90.000000,top
"C8","1nF","C_0805_2012Metric",209.804000,-50.292000,90.000000,top
"C9","0.1uF","C_0805_2012Metric",208.280000,-62.230000,-90.000000,top
"C10","1uF","C_0805_2012Metric",204.978000,-62.230000,-90.000000,top
"C11","1uF","C_0805_2012Metric",225.933000,-109.220000,90.000000,top
"C12","0.1uF","C_0805_2012Metric",212.617001,-98.638001,0.000000,top
"C13","0.1uF","C_0805_2012Metric",248.729994,-49.000000,90.000000,top
"C14","0.1uF","C_0805_2012Metric",244.172500,-60.992000,0.000000,top
"C15","270nF","C_0805_2012Metric",250.365500,-59.023000,0.000000,top
"C16","4700pF","C_0805_2012Metric",223.012000,-44.704000,90.000000,top
"C17","0.22uF","C_0805_2012Metric",251.729994,-47.500000,0.000000,top
"C18","0.22uF","C_0805_2012Metric",244.172500,-62.992000,0.000000,top
"C19","270nF","C_0805_2012Metric",250.365500,-63.023000,0.000000,top
"C20","0.01uF","C_0805_2012Metric",240.726000,-50.282000,180.000000,top
"C21","0.1uF","C_0805_2012Metric",190.246000,-31.115000,0.000000,top
"C22","0.1uF","C_0805_2012Metric",195.500000,-33.500000,0.000000,top
"C23","1uF","C_0805_2012Metric",240.726000,-48.155000,180.000000,top
"C24","0.22uF","C_0805_2012Metric",190.246000,-35.179000,180.000000,top
"C25","0.22uF","C_0805_2012Metric",202.184000,-33.528000,0.000000,top
"C26","0.1uF","C_0805_2012Metric",251.714000,-33.401000,0.000000,top
"C27","100uF","C_1206_3216Metric",227.584000,-59.309000,90.000000,top
"C28","0.22uF","C_0805_2012Metric",251.729994,-37.500000,180.000000,top
"C29","0.01uF","C_0805_2012Metric",269.240000,-64.643000,90.000000,top
"C30","0.01uF","C_0805_2012Metric",260.096000,-64.666500,90.000000,top
"C31","100uF","CP_Elec_6.3x7.7",265.430000,-109.093000,90.000000,top
"C32","0.1uF","C_0805_2012Metric",192.532000,-66.954400,-90.000000,top
"C33","47uF","CP_EIA-3528-21_Kemet-B",195.580000,-66.294000,-90.000000,top
"C34","0.1uF","C_0805_2012Metric",194.056000,-54.356000,90.000000,top
"C35","47uF","CP_EIA-3528-21_Kemet-B",174.650400,-66.294000,-90.000000,top
"C36","33uF","CP_Elec_6.3x7.7",181.864000,-52.070000,90.000000,top
"C37","33uF","CP_Elec_6.3x7.7",189.230000,-52.070000,90.000000,top
"C38","0.1uF","C_0805_2012Metric",185.978800,-62.534800,0.000000,top
"C39","0.33uF","C_0805_2012Metric",192.125600,-62.534800,0.000000,top
