Reference, Quantity, Value, Footprint, Datasheet, Manufacturer_Name, Manufacturer_Part_Number, URL, Digikey Part Number, Part #, Tolerance, Voltage, Allied_Number, Description, RS Part Number, RS Price/Stock, Height
C1 ,1,"0.01uF","Capacitor_SMD:C_0805_2012Metric","~","Yageo","CC0805KRX7R9BB103","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","311-1136-1-ND","CC0805KRX7R9BB103","","","","","","",""
C17 ,1,"22uF","Capacitor_SMD:CP_Elec_4x5.8","~","Panasonic","EEE-FK0J220R","https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-FK0J220R/PCE3765CT-ND/766141","PCE3765CT-ND","EEE-FK0J220R","","","","","","",""
C19 ,1,"10uF","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","Kemet","T491D106K050AT","https://www.digikey.com/product-detail/en/kemet/T491D106K050AT/399-8361-1-ND/3472084","399-8361-1-ND","","","35v","","","","",""
C2 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric","~","Yageo","CC0805KKX7R7BB105","https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149","311-1365-1-ND","CC0805KKX7R7BB105","","","","","","",""
C20 C22 C23 ,3,"0.1uF","Capacitor_SMD:C_1206_3216Metric","~","Kemet","C1206C104K5RAC7867","https://www.digikey.com/product-detail/en/kemet/C1206C104K5RAC7867/399-1249-1-ND/411524","399-1249-1-ND","","","50v","","","","",""
C21 ,1,"22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Samsung","CL21A226KQCLRNC","https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL21A226KQCLRNC/1276-6687-1-ND/5961546","1276-6687-1-ND","","","","","","","",""
C24 C25 ,2,"47uF","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~","AVX","TAJB476K006RNJ","https://www.digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724","478-1692-1-ND","","","10v","","","","",""
C3 C9 C10 C11 C4 C15 C16 C18 C27 C26 C28 ,11,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~","Yageo","CC0805KRX7R9BB104","https://www.digikey.com.au/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050","311-1140-1-ND","CC0805KRX7R9BB104","","","","","","",""
C5 ,1,"0.27uF","Capacitor_SMD:C_0805_2012Metric","~","Yageo","CC0805JRX7R7BB274 ","https://www.digikey.com.au/product-detail/en/yageo/CC0805JRX7R7BB274/311-4268-1-ND/8025357","311-4268-1-ND","","5%","","","","","",""
C6 C12 C13 C14 C7 ,5,"0.22uF","Capacitor_SMD:C_0805_2012Metric","~","Samsung","CL21B224KOCNNNC","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370","1276-1284-1-ND","","","","","","","",""
C8 ,1,"470pf","Capacitor_SMD:C_0805_2012Metric","~","Yageo","CC0805KRX7R9BB471","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB471/311-1124-1-ND/303034","311-1124-1-ND","CC0805KRX7R9BB471","","","","","","",""
D10 D9 D5 D6 D16 D15 D17 D20 ,8,"D","Diode_SMD:D_SOD-323","~","Micro Commercial Co","1N4448WX-TP","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338","1N4448WXTPMSCT-ND","","","","","","","",""
D12 ,1,"D_Schottky","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~","Micro Commercial Co","1N5818-TP","https://www.digikey.com/product-detail/en/micro-commercial-co/1N5818-TP/1N5818-TPCT-ND/950587","1N5818-TPCT-ND","","","","","","","",""
D13 D14 ,2,"D_Zener","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~","ON Semi","1N5919BG","https://www.digikey.com/product-detail/en/on-semiconductor/1N5919BG/1N5919BGOS-ND/1474237","1N5919BGOS-ND","","","","","","","",""
D22 D21 ,2,"LED_Green","LED_SMD:LED_0805_2012Metric","~","Osram","LG R971-KN-1","https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LG-R971-KN-1/475-1410-1-ND/1802598","475-1410-1-ND","","","","","","","",""
